"","prev","curr","type","freq","id"
"59","Moses_Magogo_Hassim","Federation_of_Uganda_Football_Associations","link","10","Moses_Magogo_Hassim:Federation_of_Uganda_Football_Associations"
"60","Recount_(film)","Jeremy_Bash","link","14","Recount_(film):Jeremy_Bash"
"61","other","Lake_City_station","external","15","other:Lake_City_station"
"62","Sister_republic","Pescara","link","76","Sister_republic:Pescara"
"63","Osmium","Synovectomy","link","45","Osmium:Synovectomy"
"64","AirBridgeCargo","Volga-Dnepr_Group","link","170","AirBridgeCargo:Volga-Dnepr_Group"
"65","Thomas,_2nd_Earl_of_Lancaster","Battle_of_Boroughbridge","link","59","Thomas,_2nd_Earl_of_Lancaster:Battle_of_Boroughbridge"
"66","Sector_7_(film)","Oh_Ji-ho","link","24","Sector_7_(film):Oh_Ji-ho"
"67","Mark_Begich","Mary_Peltola","link","35","Mark_Begich:Mary_Peltola"
"68","Peter_Renaday","Cam_Clarke","other","13","Peter_Renaday:Cam_Clarke"
"69","Chain_pump","Waterladder_pump","link","26","Chain_pump:Waterladder_pump"
"70","Expedition_of_Usama_bin_Zayd","Sa'd_ibn_Abi_Waqqas","link","20","Expedition_of_Usama_bin_Zayd:Sa'd_ibn_Abi_Waqqas"
"71","1864_United_States_presidential_election","New_Jersey","link","11","1864_United_States_presidential_election:New_Jersey"
"72","Foundling_Hospital","Thomas_Coram_Foundation_for_Children","link","65","Foundling_Hospital:Thomas_Coram_Foundation_for_Children"
"73","Fugging,_Upper_Austria","Harald_Sicheritz","link","39","Fugging,_Upper_Austria:Harald_Sicheritz"
"74","Ubisoft_Singapore","Assassin's_Creed_IV:_Black_Flag","link","11","Ubisoft_Singapore:Assassin's_Creed_IV:_Black_Flag"
"75","Grammy_Award_for_Best_Contemporary_R&B_Album","Growing_Pains_(Mary_J._Blige_album)","link","15","Grammy_Award_for_Best_Contemporary_R&B_Album:Growing_Pains_(Mary_J._Blige_album)"
"76","Arsenal_F.C._supporters","Tom_Watt_(actor)","link","12","Arsenal_F.C._supporters:Tom_Watt_(actor)"
"77","other","The_Facetious_Nights_of_Straparola","external","159","other:The_Facetious_Nights_of_Straparola"
"78","Tesho_Akindele","Ayo_Akinola","link","55","Tesho_Akindele:Ayo_Akinola"
"79","other","Hartwig","external","13","other:Hartwig"
"80","Myrna_Pérez","Brennan_Center_for_Justice","link","16","Myrna_Pérez:Brennan_Center_for_Justice"
"81","other","Schiffschul","external","20","other:Schiffschul"
"82","Negroland","Gold_Coast_(region)","link","20","Negroland:Gold_Coast_(region)"
"83","So_Awkward","Clive_Rowe","link","55","So_Awkward:Clive_Rowe"
"84","other","3-Quinuclidinyl_benzilate","external","1192","other:3-Quinuclidinyl_benzilate"
"85","Alan_Curbishley","George_McCartney","link","58","Alan_Curbishley:George_McCartney"
"86","Richard_Butler_(general)","Edward_Butler_(soldier)","link","19","Richard_Butler_(general):Edward_Butler_(soldier)"
"87","Nelson_(surname)","Nilsen","link","17","Nelson_(surname):Nilsen"
"88","Alexei_Kitaev","Landau_Institute_for_Theoretical_Physics","link","38","Alexei_Kitaev:Landau_Institute_for_Theoretical_Physics"
"89","Cosmic_Vision","SPICA_(spacecraft)","link","10","Cosmic_Vision:SPICA_(spacecraft)"
"90","Matreya_Fedor","Brendan_Meyer","link","13","Matreya_Fedor:Brendan_Meyer"
"91","PlayStation_3","God_of_War:_Ascension","link","22","PlayStation_3:God_of_War:_Ascension"
"92","other","Masaji_Ogino","external","10","other:Masaji_Ogino"
"93","J.League","J2_League","link","333","J.League:J2_League"
"94","other","Nidhi_Chanani","external","22","other:Nidhi_Chanani"
"95","Marilyn_vos_Savant","Artificial_heart","link","222","Marilyn_vos_Savant:Artificial_heart"
"96","other","Bigger,_Stronger,_Faster*","external","418","other:Bigger,_Stronger,_Faster*"
"97","FanMail","MP3.com","link","12","FanMail:MP3.com"
"98","Animetal_Marathon_V","The_Animetal:_Re-Birth_Heroes","link","12","Animetal_Marathon_V:The_Animetal:_Re-Birth_Heroes"
"99","RER_D","Creil_station","link","23","RER_D:Creil_station"
"100","2013_in_hip_hop_music","2022_in_hip_hop_music","link","26","2013_in_hip_hop_music:2022_in_hip_hop_music"
"101","other","Murder_of_Naomi_Miller","external","34","other:Murder_of_Naomi_Miller"
"102","Too_Many_Girls_(film)","Van_Johnson","link","10","Too_Many_Girls_(film):Van_Johnson"
"103","Oryx_(website)","2022_Russian_invasion_of_Ukraine","link","56","Oryx_(website):2022_Russian_invasion_of_Ukraine"
"104","Moving_to_New_York","A_Guide_to_Love,_Loss_&_Desperation","link","14","Moving_to_New_York:A_Guide_to_Love,_Loss_&_Desperation"
"105","other","Executive_Council_of_Australian_Jewry","external","21","other:Executive_Council_of_Australian_Jewry"
"106","Stratosphere","Alan_Eustace","link","109","Stratosphere:Alan_Eustace"
"107","KEGL","Lex_and_Terry","link","11","KEGL:Lex_and_Terry"
"108","Aloe_polyphylla","Aloe_brevifolia","other","12","Aloe_polyphylla:Aloe_brevifolia"
"109","other","Scoreboarding","external","12","other:Scoreboarding"
"110","South_China_Sea","Seamount","link","10","South_China_Sea:Seamount"
"111","Hurricane_Allen","1935_Labor_Day_hurricane","link","28","Hurricane_Allen:1935_Labor_Day_hurricane"
"112","other","Cobrapost","external","165","other:Cobrapost"
"113","Heat_wave","Marine_heatwave","link","14","Heat_wave:Marine_heatwave"
"114","List_of_male_professional_bodybuilders","Mohammed_Benaziza","link","93","List_of_male_professional_bodybuilders:Mohammed_Benaziza"
"115","1986_FIFA_World_Cup_squads","Jaime_Pacheco","link","72","1986_FIFA_World_Cup_squads:Jaime_Pacheco"
"116","The_Voice_of_Frank_Sinatra","Songs_by_Sinatra","link","315","The_Voice_of_Frank_Sinatra:Songs_by_Sinatra"
"117","other","1931_European_Figure_Skating_Championships","external","13","other:1931_European_Figure_Skating_Championships"
"118","Military_ranks_of_the_Kingdom_of_Egypt","Egyptian_Army","link","17","Military_ranks_of_the_Kingdom_of_Egypt:Egyptian_Army"
"119","List_of_Marvel_Comics_characters:_D","Doctor_Druid","link","16","List_of_Marvel_Comics_characters:_D:Doctor_Druid"
"120","Angel_Parker","The_Rookie_(TV_series)","link","431","Angel_Parker:The_Rookie_(TV_series)"
"121","Luís_Miquissone","Pitso_Mosimane","link","15","Luís_Miquissone:Pitso_Mosimane"
"122","Nord_Aviation","SS.10","link","12","Nord_Aviation:SS.10"
"123","other","Aridification","external","132","other:Aridification"
"124","Anton_de_Kom_University_of_Suriname","Marthelise_Eersel","link","11","Anton_de_Kom_University_of_Suriname:Marthelise_Eersel"
"125","Mmm_Mmm_Mmm_Mmm","Jerry_Harrison","link","32","Mmm_Mmm_Mmm_Mmm:Jerry_Harrison"
"126","El_Camino:_A_Breaking_Bad_Movie","Arrested_development","link","13","El_Camino:_A_Breaking_Bad_Movie:Arrested_development"
"127","Cybernetics","Cybernetics_and_Human_Knowing","link","15","Cybernetics:Cybernetics_and_Human_Knowing"
"128","Super_Why!","Theodore_Tugboat","link","13","Super_Why!:Theodore_Tugboat"
"129","Glass_(2019_film)","Main_Page","other","119","Glass_(2019_film):Main_Page"
"130","other","Estádio_11_de_Novembro","external","58","other:Estádio_11_de_Novembro"
"131","other","Soulkeeper","external","35","other:Soulkeeper"
"132","Gérald_Tremblay","Pierre_Bourque_(politician)","link","25","Gérald_Tremblay:Pierre_Bourque_(politician)"
"133","1997","Creutzfeldt–Jakob_disease","link","12","1997:Creutzfeldt–Jakob_disease"
"134","other","2018_Moscow–Constantinople_schism","external","1072","other:2018_Moscow–Constantinople_schism"
"135","Streisand_effect","AACS_encryption_key_controversy","link","195","Streisand_effect:AACS_encryption_key_controversy"
"136","List_of_snipers","Lyudmila_Pavlichenko","link","253","List_of_snipers:Lyudmila_Pavlichenko"
"137","other","Geofroy_Tory","external","10","other:Geofroy_Tory"
"138","Andrey_Vlasov","Federal_Security_Service","link","29","Andrey_Vlasov:Federal_Security_Service"
"139","other","Pterygoplichthys","external","34","other:Pterygoplichthys"
"140","Robert_Yeoman","Burn_After_Reading","link","10","Robert_Yeoman:Burn_After_Reading"
"141","Mysskin","Kallappadam","link","28","Mysskin:Kallappadam"
"142","Cyberwarfare","Office_of_Personnel_Management_data_breach","link","15","Cyberwarfare:Office_of_Personnel_Management_data_breach"
"143","Shadirvan","Sebil_(fountain)","link","19","Shadirvan:Sebil_(fountain)"
"144","Pumhart_von_Steyr","Bombard_(weapon)","link","28","Pumhart_von_Steyr:Bombard_(weapon)"
"145","Finnish_Security_Intelligence_Service","Law_enforcement_in_Finland","link","38","Finnish_Security_Intelligence_Service:Law_enforcement_in_Finland"
"146","Stone_Cold_Steve_Austin","St._Valentine's_Day_Massacre:_In_Your_House","link","21","Stone_Cold_Steve_Austin:St._Valentine's_Day_Massacre:_In_Your_House"
"147","other","Acantholycosa_lignaria","external","129","other:Acantholycosa_lignaria"
"148","other","Electoral_history_of_Theodore_Roosevelt","external","85","other:Electoral_history_of_Theodore_Roosevelt"
"149","Belarusian_alphabet","Belarusian_orthography_reform_of_1933","link","43","Belarusian_alphabet:Belarusian_orthography_reform_of_1933"
"150","List_of_Marvel_Comics_characters:_C","Cobra_(Marvel_Comics)","link","12","List_of_Marvel_Comics_characters:_C:Cobra_(Marvel_Comics)"
"151","List_of_Hallmark_Channel_Original_Movies","Luke_Perry","link","12","List_of_Hallmark_Channel_Original_Movies:Luke_Perry"
"152","other","Nicolás_Orellana","external","11","other:Nicolás_Orellana"
"153","other","Temple_of_Claudius","external","181","other:Temple_of_Claudius"
"154","Tsardom_of_Russia","House_of_Romanov","link","325","Tsardom_of_Russia:House_of_Romanov"
"155","Anish_Kapoor","2013_Birthday_Honours","link","11","Anish_Kapoor:2013_Birthday_Honours"
"156","Sly_Dunbar","Right_Time","link","10","Sly_Dunbar:Right_Time"
"157","Saints_&_Sinners_(2016_TV_series)","Gregory_Alan_Williams","link","24","Saints_&_Sinners_(2016_TV_series):Gregory_Alan_Williams"
"158","Nazi_eugenics","Life_unworthy_of_life","link","227","Nazi_eugenics:Life_unworthy_of_life"
"159","Pretty_Little_Liars:_Original_Sin","Slasher_film","link","90","Pretty_Little_Liars:_Original_Sin:Slasher_film"
"160","other","Roberto_Challe","external","106","other:Roberto_Challe"
"161","other","Shentu_(deity)","external","69","other:Shentu_(deity)"
"162","Marvel_Cinematic_Universe:_Phase_One","Natasha_Romanoff_(Marvel_Cinematic_Universe)","link","23","Marvel_Cinematic_Universe:_Phase_One:Natasha_Romanoff_(Marvel_Cinematic_Universe)"
"163","Dirac_delta_function","Navier–Stokes_equations","link","70","Dirac_delta_function:Navier–Stokes_equations"
"164","Saw_(2004_film)","The_Grudge","link","69","Saw_(2004_film):The_Grudge"
"165","Charax","Charax,_Rhagiana","link","25","Charax:Charax,_Rhagiana"
"166","other","Nicky_Chinn","external","931","other:Nicky_Chinn"
"167","other","Bila_Kayf","external","164","other:Bila_Kayf"
"168","The_Final_Storm_(film)","Steve_Bacic","link","19","The_Final_Storm_(film):Steve_Bacic"
"169","other","St_Bees_Theological_College","external","15","other:St_Bees_Theological_College"
"170","other","Bertel_Thorvaldsen","external","732","other:Bertel_Thorvaldsen"
"171","other","Blood_brother","external","1325","other:Blood_brother"
"172","Cricklewood_Wanderers_F.C.","Middlesex_County_Football_League","link","30","Cricklewood_Wanderers_F.C.:Middlesex_County_Football_League"
"173","Battle_of_Montjuïc_(1641)","Francesc_de_Tamarit","link","10","Battle_of_Montjuïc_(1641):Francesc_de_Tamarit"
"174","other","Thorn_in_My_Side","external","347","other:Thorn_in_My_Side"
"175","List_of_battles_fought_in_Oklahoma","Battle_of_Little_Robe_Creek","link","24","List_of_battles_fought_in_Oklahoma:Battle_of_Little_Robe_Creek"
"176","Israel_Defense_Forces","Israel_Defense_Forces_ranks","link","634","Israel_Defense_Forces:Israel_Defense_Forces_ranks"
"177","Military_ranks_and_insignia_of_Norway","Storting","link","20","Military_ranks_and_insignia_of_Norway:Storting"
"178","1994_Budapest_mayoral_election","1998_Budapest_mayoral_election","link","10","1994_Budapest_mayoral_election:1998_Budapest_mayoral_election"
"179","Burning_feet_syndrome","Rheumatoid_arthritis","link","13","Burning_feet_syndrome:Rheumatoid_arthritis"
"180","Thalattosauria","Blezingeria","link","21","Thalattosauria:Blezingeria"
"181","other","Acral_lentiginous_melanoma","external","29","other:Acral_lentiginous_melanoma"
"182","FMW_11th_Anniversary_Show","FMW_12th_Anniversary_Show","link","20","FMW_11th_Anniversary_Show:FMW_12th_Anniversary_Show"
"183","other","SkyMed","external","729","other:SkyMed"
"184","History_of_Guam","Philippines","link","10","History_of_Guam:Philippines"
"185","Dodge_Spirit","Mitsubishi_Group","link","14","Dodge_Spirit:Mitsubishi_Group"
"186","other","Spanish_Rhythmic_Gymnastics_Championships","external","34","other:Spanish_Rhythmic_Gymnastics_Championships"
"187","List_of_Arena_Football_League_teams","Oklahoma_Wranglers","link","44","List_of_Arena_Football_League_teams:Oklahoma_Wranglers"
"188","Molly_Drake","Tanworth-in-Arden","link","28","Molly_Drake:Tanworth-in-Arden"
"189","LR91","Titan_(rocket_family)","link","32","LR91:Titan_(rocket_family)"
"190","Waterproof_paper","Tyvek","link","10","Waterproof_paper:Tyvek"
"191","other","John_Woods_Duke","external","131","other:John_Woods_Duke"
"192","Kalev_Leetaru","GDELT_Project","link","13","Kalev_Leetaru:GDELT_Project"
"193","Zacuscă","Ajvar","link","56","Zacuscă:Ajvar"
"194","James_Small_(rugby_union)","Francois_Pienaar","link","19","James_Small_(rugby_union):Francois_Pienaar"
"195","other","List_of_development_aid_agencies","external","943","other:List_of_development_aid_agencies"
"196","other","Naplate,_Illinois","external","18","other:Naplate,_Illinois"
"197","other","Osterley_Park","external","191","other:Osterley_Park"
"198","other","Catholic_Health","external","169","other:Catholic_Health"
"199","2022_São_Tomé_and_Príncipe_coup_d'état_attempt","São_Tomé_and_Príncipe","link","258","2022_São_Tomé_and_Príncipe_coup_d'état_attempt:São_Tomé_and_Príncipe"
"200","other","L'Amour_médecin","external","25","other:L'Amour_médecin"
"201","other","Archer's_paradox","external","21","other:Archer's_paradox"
"202","My_Curse_(song)","The_End_of_Heartache","link","21","My_Curse_(song):The_End_of_Heartache"
"203","Global_North_and_Global_South","South","link","26","Global_North_and_Global_South:South"
"204","other","Riders_in_the_Chariot","external","58","other:Riders_in_the_Chariot"
"205","other","Parliamentary_Ombudsman","external","20","other:Parliamentary_Ombudsman"
"206","Utøya:_July_22","List_of_Seconds_from_Disaster_episodes","link","16","Utøya:_July_22:List_of_Seconds_from_Disaster_episodes"
"207","Brandon_deWilde","List_of_oldest_and_youngest_Academy_Award_winners_and_nominees","link","20","Brandon_deWilde:List_of_oldest_and_youngest_Academy_Award_winners_and_nominees"
"208","List_of_vehicles_of_the_United_States_Marine_Corps","List_of_land_vehicles_of_the_U.S._Armed_Forces","link","95","List_of_vehicles_of_the_United_States_Marine_Corps:List_of_land_vehicles_of_the_U.S._Armed_Forces"
"209","Bandidos_MC_criminal_allegations_and_incidents","Mongols_Motorcycle_Club","link","120","Bandidos_MC_criminal_allegations_and_incidents:Mongols_Motorcycle_Club"
"210","Capture_of_Fez_(1576)","Murad_III","link","14","Capture_of_Fez_(1576):Murad_III"
"211","Friedrich_Alfred_Krupp","Friedrich_Krupp_Germaniawerft","link","38","Friedrich_Alfred_Krupp:Friedrich_Krupp_Germaniawerft"
"212","Yokohama_Rubber_Company","Trelleborg_(company)","link","39","Yokohama_Rubber_Company:Trelleborg_(company)"
"213","Main_Page","TomSka","other","81","Main_Page:TomSka"
"214","False_friend","False_etymology","link","34","False_friend:False_etymology"
"215","other","Sherburn_Hill","external","29","other:Sherburn_Hill"
"216","Sonos","Palindrome","link","13","Sonos:Palindrome"
"217","other","The_Invasion_(film)","external","348","other:The_Invasion_(film)"
"218","Alexandra_Botez","The_Streamer_Awards","link","235","Alexandra_Botez:The_Streamer_Awards"
"219","Black_people_in_France","France","link","74","Black_people_in_France:France"
"220","L'Enfant_Plaza","I._M._Pei","link","26","L'Enfant_Plaza:I._M._Pei"
"221","Undisputed_championship_(professional_wrestling)","TNA_World_Heavyweight_Championship_(2020–2021)","link","14","Undisputed_championship_(professional_wrestling):TNA_World_Heavyweight_Championship_(2020–2021)"
"222","other","Edward_Delon_Warren","external","13","other:Edward_Delon_Warren"
"223","other","Paddy_Buckley_Round","external","10","other:Paddy_Buckley_Round"
"224","Andy_Lau_filmography","The_Conmen_in_Vegas","link","37","Andy_Lau_filmography:The_Conmen_in_Vegas"
"225","Michele_Fitzgerald","Survivor:_Kaôh_Rōng","link","643","Michele_Fitzgerald:Survivor:_Kaôh_Rōng"
"226","Russian_cruiser_Moskva","Patrol_boat","link","12","Russian_cruiser_Moskva:Patrol_boat"
"227","Probainognathia","Aleodon","link","11","Probainognathia:Aleodon"
"228","List_of_cities_in_South_Korea_by_population","Yangsan","link","41","List_of_cities_in_South_Korea_by_population:Yangsan"
"229","10_Gigabit_Ethernet","Computer_network","link","26","10_Gigabit_Ethernet:Computer_network"
"230","Portraits_by_Vincent_van_Gogh","L'Arlésienne_(painting)","link","10","Portraits_by_Vincent_van_Gogh:L'Arlésienne_(painting)"
"231","Salim_Ali_Bird_Sanctuary","Chorão_(island)","link","19","Salim_Ali_Bird_Sanctuary:Chorão_(island)"
"232","Sarah_Kendall","Taskmaster_(TV_series)","link","286","Sarah_Kendall:Taskmaster_(TV_series)"
"233","Toei_Animation","Marvel_Disk_Wars:_The_Avengers","link","43","Toei_Animation:Marvel_Disk_Wars:_The_Avengers"
"234","North_Atlantic_Treaty","Charter_of_the_United_Nations","link","17","North_Atlantic_Treaty:Charter_of_the_United_Nations"
"235","Tayy","Main_Page","other","20","Tayy:Main_Page"
"236","Collin_College","Levi_Bryant","link","15","Collin_College:Levi_Bryant"
"237","Maltese_Challenge_League","Football_in_Malta","link","14","Maltese_Challenge_League:Football_in_Malta"
"238","Volcán_de_Fuego","Iglesia_y_Convento_de_la_Compañía_de_Jesús,_Antigua_Guatemala","link","27","Volcán_de_Fuego:Iglesia_y_Convento_de_la_Compañía_de_Jesús,_Antigua_Guatemala"
"239","American_Society_for_Quality","EFQM","link","12","American_Society_for_Quality:EFQM"
"240","Royal_Christmas_Message","Investiture_of_the_prince_of_Wales","link","110","Royal_Christmas_Message:Investiture_of_the_prince_of_Wales"
"241","Lee_Byung-chul","Ri_Pyong-chol","link","11","Lee_Byung-chul:Ri_Pyong-chol"
"242","other","2002_in_spaceflight","external","49","other:2002_in_spaceflight"
"243","List_of_programes_broadcast_by_Cartoon_Network_(Pakistan)","Nexo_Knights","link","12","List_of_programes_broadcast_by_Cartoon_Network_(Pakistan):Nexo_Knights"
"244","other","Sabin,_Minnesota","external","177","other:Sabin,_Minnesota"
"245","Battle_of_Hostomel","Closed-circuit_television","link","21","Battle_of_Hostomel:Closed-circuit_television"
"246","other","Landesmuseum_Hannover","external","43","other:Landesmuseum_Hannover"
"247","Northrop_M2-F2","NASA_M2-F1","link","234","Northrop_M2-F2:NASA_M2-F1"
"248","Vakpatiraja_I","Simharaja","link","70","Vakpatiraja_I:Simharaja"
"249","other","Ga'dang_language","external","25","other:Ga'dang_language"
"250","List_of_current_NHL_general_managers","Bill_Armstrong_(ice_hockey,_born_1970)","link","73","List_of_current_NHL_general_managers:Bill_Armstrong_(ice_hockey,_born_1970)"
"251","List_of_The_Walking_Dead_(TV_series)_characters","What_It_Always_Is","link","14","List_of_The_Walking_Dead_(TV_series)_characters:What_It_Always_Is"
"252","The_Boys_(season_2)","Jim_Beaver","link","27","The_Boys_(season_2):Jim_Beaver"
"253","Eliane_Elias","A_Long_Story_(Eliane_Elias_album)","link","11","Eliane_Elias:A_Long_Story_(Eliane_Elias_album)"
"254","Derek_Mason","Sarah_Fuller_(athlete)","link","30","Derek_Mason:Sarah_Fuller_(athlete)"
"255","Székelys","Great_Hungarian_Plain","link","16","Székelys:Great_Hungarian_Plain"
"256","Braun_Strowman","Chris_Jericho","link","12","Braun_Strowman:Chris_Jericho"
"257","Thatching","Main_Page","other","17","Thatching:Main_Page"
"258","other","Finché_non_mi_seppelliscono","external","12","other:Finché_non_mi_seppelliscono"
"259","other","Brother's_Justice","external","29","other:Brother's_Justice"
"260","other","List_of_Hindi_films_of_2015","external","3901","other:List_of_Hindi_films_of_2015"
"261","Fastest_goals_in_association_football","Kick-off_(association_football)","link","13","Fastest_goals_in_association_football:Kick-off_(association_football)"
"262","Wilson_Cruz","Party_of_Five","link","22","Wilson_Cruz:Party_of_Five"
"263","List_of_military_special_forces_units","NATO","link","13","List_of_military_special_forces_units:NATO"
"264","other","Steve_Popovich","external","46","other:Steve_Popovich"
"265","Drag_Race_Philippines","RuPaul's_Drag_Race:_Untucked","link","16","Drag_Race_Philippines:RuPaul's_Drag_Race:_Untucked"
"266","CURB-65","Abbreviated_mental_test_score","link","80","CURB-65:Abbreviated_mental_test_score"
"267","Spy_film","The_Lady_Vanishes","link","20","Spy_film:The_Lady_Vanishes"
"268","Chrysler_B_platform","Plymouth_Belvedere","link","80","Chrysler_B_platform:Plymouth_Belvedere"
"269","other","Uppåkra_temple","external","52","other:Uppåkra_temple"
"270","other","Camilla_de_Rossi","external","15","other:Camilla_de_Rossi"
"271","Transcendental_number","Natural_logarithm","link","14","Transcendental_number:Natural_logarithm"
"272","Elijah_Seymour","Cockfosters_F.C.","link","10","Elijah_Seymour:Cockfosters_F.C."
"273","LGBT_rights_in_Turkey","LGBT_history_in_Turkey","link","161","LGBT_rights_in_Turkey:LGBT_history_in_Turkey"
"274","Miss_France_2023","Miss_Universe_2022","other","32","Miss_France_2023:Miss_Universe_2022"
"275","other","Mouthbrooder","external","1080","other:Mouthbrooder"
"276","other","Reena_Kashyap","external","955","other:Reena_Kashyap"
"277","other","Franz_Miklosich","external","38","other:Franz_Miklosich"
"278","Rochdale","John_Peel","link","11","Rochdale:John_Peel"
"279","Drang_nach_Osten","Old_Prussian_language","link","14","Drang_nach_Osten:Old_Prussian_language"
"280","Discrimination","American_Psychological_Association","link","11","Discrimination:American_Psychological_Association"
"281","Education_in_Finland","Finnish_language","link","12","Education_in_Finland:Finnish_language"
"282","Isometric_projection","Engineering_drawing","link","54","Isometric_projection:Engineering_drawing"
