prev,curr,type,freq,id
other,Tiequon_Cox,external,24,other:Tiequon_Cox
other,Tiequon_Cox,external,1157,other:Tiequon_Cox
other,Tiequon_Cox,external,623,other:Tiequon_Cox
1966_in_music,Would_You_Believe?_(Hollies_album),link,16,1966_in_music:Would_You_Believe?_(Hollies_album)
other,Avtovokzal,external,24,other:Avtovokzal
other,Avtovokzal,external,15,other:Avtovokzal
"Sunset_Park,_Brooklyn",36th_Street_station_(BMT_Fourth_Avenue_Line),link,24,"Sunset_Park,_Brooklyn:36th_Street_station_(BMT_Fourth_Avenue_Line)"
other,Teatro_Nacional_Cervantes,external,32,other:Teatro_Nacional_Cervantes
other,Teatro_Nacional_Cervantes,external,13,other:Teatro_Nacional_Cervantes
other,Teatro_Nacional_Cervantes,external,29,other:Teatro_Nacional_Cervantes
other,Paddy_Roberts_(songwriter),external,114,other:Paddy_Roberts_(songwriter)
other,Paddy_Roberts_(songwriter),external,10,other:Paddy_Roberts_(songwriter)
other,Paddy_Roberts_(songwriter),external,407,other:Paddy_Roberts_(songwriter)
Too_Many_Girls_(film),Van_Johnson,link,10,Too_Many_Girls_(film):Van_Johnson
Tyler_Hoechlin,Hall_Pass,link,172,Tyler_Hoechlin:Hall_Pass
other,Brotopia,external,395,other:Brotopia
other,Brotopia,external,10,other:Brotopia
other,Brotopia,external,176,other:Brotopia
other,Hanoi_Radio_Television,external,97,other:Hanoi_Radio_Television
other,Hanoi_Radio_Television,external,31,other:Hanoi_Radio_Television
other,Hanoi_Radio_Television,external,43,other:Hanoi_Radio_Television
Royal_intermarriage,Chulalongkorn,link,20,Royal_intermarriage:Chulalongkorn
Main_Page,Awesome_God,other,14,Main_Page:Awesome_God
Presidency_of_Alberto_Fernández,Silvina_Batakis,link,18,Presidency_of_Alberto_Fernández:Silvina_Batakis
other,Quantum_of_Solace_(disambiguation),external,26,other:Quantum_of_Solace_(disambiguation)
Battle_of_Montjuïc_(1641),Francesc_de_Tamarit,link,10,Battle_of_Montjuïc_(1641):Francesc_de_Tamarit
other,Strepsiptera,external,4346,other:Strepsiptera
other,Strepsiptera,external,251,other:Strepsiptera
other,Strepsiptera,external,1016,other:Strepsiptera
other,Strepsiptera,external,176,other:Strepsiptera
Len_Goodman,Harris_Academy_Falconwood,link,40,Len_Goodman:Harris_Academy_Falconwood
PMG_Clash_of_Legends,Memphis_Wrestling,link,10,PMG_Clash_of_Legends:Memphis_Wrestling
Backsword,Types_of_swords,link,239,Backsword:Types_of_swords
Shadirvan,Sebil_(fountain),link,19,Shadirvan:Sebil_(fountain)
Anton_de_Kom_University_of_Suriname,Marthelise_Eersel,link,11,Anton_de_Kom_University_of_Suriname:Marthelise_Eersel
Yokohama_Rubber_Company,Trelleborg_(company),link,39,Yokohama_Rubber_Company:Trelleborg_(company)
other,International_Territorial_Level,external,1107,other:International_Territorial_Level
other,International_Territorial_Level,external,1325,other:International_Territorial_Level
other,International_Territorial_Level,external,150,other:International_Territorial_Level
other,International_Territorial_Level,external,59,other:International_Territorial_Level
AUKUS,Erin_O'Toole,link,56,AUKUS:Erin_O'Toole
other,Reebok_Nano,external,993,other:Reebok_Nano
other,Reebok_Nano,external,110,other:Reebok_Nano
other,Reebok_Nano,external,10,other:Reebok_Nano
"Joseph_Friedrich_Ernst,_Prince_of_Hohenzollern-Sigmaringen",Johanna_Katharina_von_Montfort,link,19,"Joseph_Friedrich_Ernst,_Prince_of_Hohenzollern-Sigmaringen:Johanna_Katharina_von_Montfort"
The_Boys_(season_2),Jim_Beaver,link,27,The_Boys_(season_2):Jim_Beaver
YG_Future_Strategy_Office,Yang_Hyun-suk,link,10,YG_Future_Strategy_Office:Yang_Hyun-suk
Ruth-Ann_Boyle,Olive_(band),link,31,Ruth-Ann_Boyle:Olive_(band)
other,Riders_in_the_Chariot,external,58,other:Riders_in_the_Chariot
other,Riders_in_the_Chariot,external,130,other:Riders_in_the_Chariot
other,2021_Speaker_of_the_United_States_House_of_Representatives_election,external,1183,other:2021_Speaker_of_the_United_States_House_of_Representatives_election
other,2021_Speaker_of_the_United_States_House_of_Representatives_election,external,29,other:2021_Speaker_of_the_United_States_House_of_Representatives_election
other,2021_Speaker_of_the_United_States_House_of_Representatives_election,external,7277,other:2021_Speaker_of_the_United_States_House_of_Representatives_election
other,2021_Speaker_of_the_United_States_House_of_Representatives_election,external,109,other:2021_Speaker_of_the_United_States_House_of_Representatives_election
other,Marble_Mountain_Wilderness,external,205,other:Marble_Mountain_Wilderness
other,Marble_Mountain_Wilderness,external,95,other:Marble_Mountain_Wilderness
List_of_Allied_warships_in_the_Normandy_landings,HMS_Diadem_(84),link,12,List_of_Allied_warships_in_the_Normandy_landings:HMS_Diadem_(84)
Built-up_area_(Highway_Code),Speed_limit,link,17,Built-up_area_(Highway_Code):Speed_limit
other,Fernando_Torres,external,1535,other:Fernando_Torres
other,Fernando_Torres,external,18729,other:Fernando_Torres
other,Fernando_Torres,external,91,other:Fernando_Torres
other,Fernando_Torres,external,82579,other:Fernando_Torres
other,L'Amour_médecin,external,104,other:L'Amour_médecin
other,L'Amour_médecin,external,25,other:L'Amour_médecin
other,Edward_Dow_(architect),external,18,other:Edward_Dow_(architect)
1986_FIFA_World_Cup_squads,Jaime_Pacheco,link,72,1986_FIFA_World_Cup_squads:Jaime_Pacheco
Camilla_Belle,Father_of_Invention,link,102,Camilla_Belle:Father_of_Invention
Franco-Provençal,Dombes,link,18,Franco-Provençal:Dombes
Bonnie_Hunt,The_Second_City,link,19,Bonnie_Hunt:The_Second_City
other,SkyMed,external,29,other:SkyMed
other,SkyMed,external,2992,other:SkyMed
other,SkyMed,external,729,other:SkyMed
other,SkyMed,external,86,other:SkyMed
Legal_teams_involved_in_the_Mueller_special_counsel_investigation,Andrew_Weissmann,link,14,Legal_teams_involved_in_the_Mueller_special_counsel_investigation:Andrew_Weissmann
Rochdale,John_Peel,link,11,Rochdale:John_Peel
Kudan_(yōkai),Glossary_of_anime_and_manga,other,26,Kudan_(yōkai):Glossary_of_anime_and_manga
other,N_180B,external,10,other:N_180B
List_of_modern_armoured_fighting_vehicles,KTO_Ryś,link,143,List_of_modern_armoured_fighting_vehicles:KTO_Ryś
Seattle_Seahawks,Saskatchewan,link,10,Seattle_Seahawks:Saskatchewan
Alexei_Kitaev,Landau_Institute_for_Theoretical_Physics,link,38,Alexei_Kitaev:Landau_Institute_for_Theoretical_Physics
Leda_and_the_Swan,Hubris,link,192,Leda_and_the_Swan:Hubris
Nai_Nabhannu_La,Jiwan_Luitel,link,10,Nai_Nabhannu_La:Jiwan_Luitel
2017_Jacksonville_Jaguars_season,Arrelious_Benn,link,38,2017_Jacksonville_Jaguars_season:Arrelious_Benn
other,Catholic_Health,external,37,other:Catholic_Health
other,Catholic_Health,external,169,other:Catholic_Health
J.League,J2_League,link,333,J.League:J2_League
Hellenic_Air_Force,PZL_P.24,link,12,Hellenic_Air_Force:PZL_P.24
Partial_derivative,Divergence,link,18,Partial_derivative:Divergence
other,Dayle_Coleing,external,48,other:Dayle_Coleing
other,Dayle_Coleing,external,23,other:Dayle_Coleing
Oryx_(website),2022_Russian_invasion_of_Ukraine,link,56,Oryx_(website):2022_Russian_invasion_of_Ukraine
Black_horse,Smoky_black,link,30,Black_horse:Smoky_black
Eagle_Forum,Equal_Rights_Amendment,link,11,Eagle_Forum:Equal_Rights_Amendment
Soviet_famine_of_1930–1933,Federal_State_Statistics_Service_(Russia),link,238,Soviet_famine_of_1930–1933:Federal_State_Statistics_Service_(Russia)
Blowback_(firearms),MAB_PA-15_pistol,link,52,Blowback_(firearms):MAB_PA-15_pistol
Pretty_Little_Liars:_Original_Sin,Slasher_film,link,90,Pretty_Little_Liars:_Original_Sin:Slasher_film
Vijay_Amritraj,1987_Davis_Cup,link,12,Vijay_Amritraj:1987_Davis_Cup
other,Sibylla_of_Anhalt,external,24,other:Sibylla_of_Anhalt
other,Sibylla_of_Anhalt,external,17,other:Sibylla_of_Anhalt
other,Sibylla_of_Anhalt,external,36,other:Sibylla_of_Anhalt
Sony_Pictures_Animation,Wish_Dragon,link,29,Sony_Pictures_Animation:Wish_Dragon
Greg_McDermott,Northern_Iowa_Panthers_men's_basketball,link,40,Greg_McDermott:Northern_Iowa_Panthers_men's_basketball
She_Wants_Revenge,Joaquin_Phoenix,link,18,She_Wants_Revenge:Joaquin_Phoenix
University_of_Illinois_Urbana-Champaign,University_of_Illinois_Experimental_Dairy_Farm_Historic_District,link,11,University_of_Illinois_Urbana-Champaign:University_of_Illinois_Experimental_Dairy_Farm_Historic_District
PlayStation_3,God_of_War:_Ascension,link,22,PlayStation_3:God_of_War:_Ascension
other,2002_in_spaceflight,external,45,other:2002_in_spaceflight
other,2002_in_spaceflight,external,49,other:2002_in_spaceflight
other,Purna_Chandra_Mitra,external,11,other:Purna_Chandra_Mitra
Yitzhak_Mordechai,Bus_300_affair,link,11,Yitzhak_Mordechai:Bus_300_affair
List_of_Arena_Football_League_teams,Oklahoma_Wranglers,link,44,List_of_Arena_Football_League_teams:Oklahoma_Wranglers
other,Hel_Peninsula,external,72,other:Hel_Peninsula
other,Hel_Peninsula,external,465,other:Hel_Peninsula
other,Hel_Peninsula,external,33,other:Hel_Peninsula
other,Hel_Peninsula,external,194,other:Hel_Peninsula
Tanks_in_the_British_Army,Infantry_tank,link,60,Tanks_in_the_British_Army:Infantry_tank
Operation_Sea_Lion,Texel_Disaster,link,10,Operation_Sea_Lion:Texel_Disaster
Districts_of_Lebanon,Keserwan_District,link,19,Districts_of_Lebanon:Keserwan_District
Christopher_Lee_filmography,Bitter_Victory,link,24,Christopher_Lee_filmography:Bitter_Victory
Exoplanet,Milky_Way,link,17,Exoplanet:Milky_Way
List_of_actors_with_Academy_Award_nominations,Gene_Hackman,link,15,List_of_actors_with_Academy_Award_nominations:Gene_Hackman
Zabardast,Nasir_Hussain,link,63,Zabardast:Nasir_Hussain
other,Open_Language_Tools,external,11,other:Open_Language_Tools
other,Open_Language_Tools,external,37,other:Open_Language_Tools
other,Soulkeeper,external,41,other:Soulkeeper
other,Soulkeeper,external,35,other:Soulkeeper
Tibetan_Buddhism,The_Buddha,link,11,Tibetan_Buddhism:The_Buddha
other,Murder_of_Naomi_Miller,external,23,other:Murder_of_Naomi_Miller
other,Murder_of_Naomi_Miller,external,34,other:Murder_of_Naomi_Miller
other,Murder_of_Naomi_Miller,external,41,other:Murder_of_Naomi_Miller
Sangita_Ratnakara,Sangita,link,12,Sangita_Ratnakara:Sangita
"Norwood,_Ohio",Robert_Anthony_Buell,link,25,"Norwood,_Ohio:Robert_Anthony_Buell"
Sciences_Po,Provost_(education),link,35,Sciences_Po:Provost_(education)
other,Aridification,external,11,other:Aridification
other,Aridification,external,132,other:Aridification
other,Aridification,external,89,other:Aridification
Drang_nach_Osten,Old_Prussian_language,link,14,Drang_nach_Osten:Old_Prussian_language
Bigg_Boss_(Tamil_season_3),Kamal_Haasan,link,16,Bigg_Boss_(Tamil_season_3):Kamal_Haasan
Jimmy_Lai,Hong_Kong_1_July_marches,link,11,Jimmy_Lai:Hong_Kong_1_July_marches
Drag_Race_Philippines,RuPaul's_Drag_Race:_Untucked,link,16,Drag_Race_Philippines:RuPaul's_Drag_Race:_Untucked
History_of_anime,Film,link,15,History_of_anime:Film
Elections_in_India,2022_Uttarakhand_Legislative_Assembly_election,link,72,Elections_in_India:2022_Uttarakhand_Legislative_Assembly_election
Streisand_effect,AACS_encryption_key_controversy,link,195,Streisand_effect:AACS_encryption_key_controversy
other,"Madison_Township,_Columbiana_County,_Ohio",external,27,"other:Madison_Township,_Columbiana_County,_Ohio"
other,"Madison_Township,_Columbiana_County,_Ohio",external,16,"other:Madison_Township,_Columbiana_County,_Ohio"
Cult,Ad_hominem,link,54,Cult:Ad_hominem
other,The_Sound_of_Fury_(album),external,94,other:The_Sound_of_Fury_(album)
other,The_Sound_of_Fury_(album),external,21,other:The_Sound_of_Fury_(album)
Operation_Crusader,Union_of_South_Africa,link,29,Operation_Crusader:Union_of_South_Africa
Abkhaz–Georgian_conflict,Frozen_conflict,link,121,Abkhaz–Georgian_conflict:Frozen_conflict
Haberman_Feeder,Breastfeeding_difficulties,other,12,Haberman_Feeder:Breastfeeding_difficulties
North_Atlantic_Treaty,Charter_of_the_United_Nations,link,17,North_Atlantic_Treaty:Charter_of_the_United_Nations
2016_Pro_Kabaddi_League_season_(June),Bengal_Warriors,link,13,2016_Pro_Kabaddi_League_season_(June):Bengal_Warriors
Wolfsburg,Wolfsburg_Volkswagen_Plant,link,451,Wolfsburg:Wolfsburg_Volkswagen_Plant
other,James_J._Saxon,external,10,other:James_J._Saxon
other,Red_Lines,external,16,other:Red_Lines
other,Red_Lines,external,14,other:Red_Lines
Lamborghini_Sián_FKP_37,Roadster_(automobile),link,28,Lamborghini_Sián_FKP_37:Roadster_(automobile)
other,Tavukgöğsü,external,26,other:Tavukgöğsü
other,Tavukgöğsü,external,1142,other:Tavukgöğsü
other,Tavukgöğsü,external,502,other:Tavukgöğsü
other,Tavukgöğsü,external,73,other:Tavukgöğsü
Nightwish,The_Gathering_(band),link,31,Nightwish:The_Gathering_(band)
Spelling_pronunciation,Folk_etymology,link,11,Spelling_pronunciation:Folk_etymology
Arizona,Folk_etymology,link,51,Arizona:Folk_etymology
2022_Myrtle_Beach_Bowl,Brooks_Stadium,link,584,2022_Myrtle_Beach_Bowl:Brooks_Stadium
Cinco_de_Mayo,Second_Federal_Republic_of_Mexico,link,58,Cinco_de_Mayo:Second_Federal_Republic_of_Mexico
other,List_of_pioneering_solar_buildings,external,23,other:List_of_pioneering_solar_buildings
other,List_of_pioneering_solar_buildings,external,88,other:List_of_pioneering_solar_buildings
other,List_of_pioneering_solar_buildings,external,57,other:List_of_pioneering_solar_buildings
other,List_of_pioneering_solar_buildings,external,10,other:List_of_pioneering_solar_buildings
Godavari_River,Trimbakeshwar_Shiva_Temple,link,141,Godavari_River:Trimbakeshwar_Shiva_Temple
Link_Jarrett,Notre_Dame_Fighting_Irish_baseball,link,17,Link_Jarrett:Notre_Dame_Fighting_Irish_baseball
other,Nancy_Drew:_The_White_Wolf_of_Icicle_Creek,external,148,other:Nancy_Drew:_The_White_Wolf_of_Icicle_Creek
other,Nancy_Drew:_The_White_Wolf_of_Icicle_Creek,external,95,other:Nancy_Drew:_The_White_Wolf_of_Icicle_Creek
other,Nancy_Drew:_The_White_Wolf_of_Icicle_Creek,external,25,other:Nancy_Drew:_The_White_Wolf_of_Icicle_Creek
Ragnarok_(TV_series),Odd-Magnus_Williamson,link,157,Ragnarok_(TV_series):Odd-Magnus_Williamson
List_of_Coastal_Carolina_Chanticleers_head_football_coaches,David_Bennett_(American_football),link,161,List_of_Coastal_Carolina_Chanticleers_head_football_coaches:David_Bennett_(American_football)
other,Taiyuan_Riverside_Sports_Centre_Gymnasium,external,23,other:Taiyuan_Riverside_Sports_Centre_Gymnasium
List_of_Ex_on_the_Beach_cast_members,Daniel_Conn,link,32,List_of_Ex_on_the_Beach_cast_members:Daniel_Conn
other,Singlet_state,external,2509,other:Singlet_state
other,Singlet_state,external,31,other:Singlet_state
other,Singlet_state,external,698,other:Singlet_state
other,Singlet_state,external,83,other:Singlet_state
Osmium,Synovectomy,link,45,Osmium:Synovectomy
Paul_Giamatti,The_Holdovers,link,788,Paul_Giamatti:The_Holdovers
other,MMDA_(drug),external,12,other:MMDA_(drug)
other,MMDA_(drug),external,40,other:MMDA_(drug)
other,MMDA_(drug),external,1352,other:MMDA_(drug)
other,MMDA_(drug),external,336,other:MMDA_(drug)
Law_&_Order:_Special_Victims_Unit_(season_8),Margo_Martindale,link,20,Law_&_Order:_Special_Victims_Unit_(season_8):Margo_Martindale
Department_of_motor_vehicles,Texas_Department_of_Motor_Vehicles,link,11,Department_of_motor_vehicles:Texas_Department_of_Motor_Vehicles
Israel_Defense_Forces,Israel_Defense_Forces_ranks,link,634,Israel_Defense_Forces:Israel_Defense_Forces_ranks
Supergirl_(season_6),Jesse_Rath,link,83,Supergirl_(season_6):Jesse_Rath
Walking_in_Memphis,Pete_Davidson,link,13,Walking_in_Memphis:Pete_Davidson
Main_Page,Ijahman_Levi,other,11,Main_Page:Ijahman_Levi
Ford_Country_Squire,Ford_Crestline,link,33,Ford_Country_Squire:Ford_Crestline
other,1988_in_American_television,external,200,other:1988_in_American_television
other,1988_in_American_television,external,189,other:1988_in_American_television
other,Scoreboarding,external,357,other:Scoreboarding
other,Scoreboarding,external,14,other:Scoreboarding
other,Scoreboarding,external,134,other:Scoreboarding
other,Scoreboarding,external,12,other:Scoreboarding
other,Tille_trevally,external,14,other:Tille_trevally
Mel_Galley,Saints_&_Sinners_(Whitesnake_album),link,42,Mel_Galley:Saints_&_Sinners_(Whitesnake_album)
BMW_V12_LMR,BMW_M70,link,97,BMW_V12_LMR:BMW_M70
Lego_Ninjago,Ninjago:_Secrets_of_the_Forbidden_Spinjitzu,link,10,Lego_Ninjago:Ninjago:_Secrets_of_the_Forbidden_Spinjitzu
Toucouleur_Empire,Bamana_Empire,link,144,Toucouleur_Empire:Bamana_Empire
other,Tanfoglio_T95,external,213,other:Tanfoglio_T95
other,Tanfoglio_T95,external,17,other:Tanfoglio_T95
other,Tanfoglio_T95,external,920,other:Tanfoglio_T95
FMW_11th_Anniversary_Show,FMW_12th_Anniversary_Show,link,20,FMW_11th_Anniversary_Show:FMW_12th_Anniversary_Show
Public_Radio_International,Public_Radio_Exchange,link,122,Public_Radio_International:Public_Radio_Exchange
University_of_Virginia,"Henrico,_Virginia",link,25,"University_of_Virginia:Henrico,_Virginia"
Chamber_of_Deputies_(Luxembourg),East_(Chamber_of_Deputies_of_Luxembourg_constituency),link,25,Chamber_of_Deputies_(Luxembourg):East_(Chamber_of_Deputies_of_Luxembourg_constituency)
other,Masaji_Ogino,external,10,other:Masaji_Ogino
Criticism_of_copyright,Pirate_Cinema,link,22,Criticism_of_copyright:Pirate_Cinema
Afro-Spaniards,Jimmy_Castro,link,97,Afro-Spaniards:Jimmy_Castro
other,Jonathan_McEvoy,external,13,other:Jonathan_McEvoy
Mexico_City_Metropolitan_Cathedral,First_Mexican_Empire,link,10,Mexico_City_Metropolitan_Cathedral:First_Mexican_Empire
Moving_to_New_York,"A_Guide_to_Love,_Loss_&_Desperation",link,14,"Moving_to_New_York:A_Guide_to_Love,_Loss_&_Desperation"
Japanese_cruiser_Takao_(1930),Seletar,link,10,Japanese_cruiser_Takao_(1930):Seletar
KEGL,Lex_and_Terry,link,11,KEGL:Lex_and_Terry
other,Lake_City_station,external,17,other:Lake_City_station
other,Lake_City_station,external,15,other:Lake_City_station
Johnny_Depp_filmography,Charlie:_The_Life_and_Art_of_Charles_Chaplin,link,19,Johnny_Depp_filmography:Charlie:_The_Life_and_Art_of_Charles_Chaplin
Alishbah_Anjum,Jannat_Mirza,link,41,Alishbah_Anjum:Jannat_Mirza
1908,1908_United_States_presidential_election,link,12,1908:1908_United_States_presidential_election
1796_United_States_presidential_election,1796–97_United_States_House_of_Representatives_elections,link,12,1796_United_States_presidential_election:1796–97_United_States_House_of_Representatives_elections
Hershel_of_Ostropol,Jewish_humor,link,42,Hershel_of_Ostropol:Jewish_humor
...But_the_Little_Girls_Understand,Dave_Marsh,link,14,...But_the_Little_Girls_Understand:Dave_Marsh
South_America,Mapuche,link,20,South_America:Mapuche
other,Ivica_Marić,external,20,other:Ivica_Marić
other,Ivica_Marić,external,20,other:Ivica_Marić
Aichi_D3A,Type_92_machine_gun,link,61,Aichi_D3A:Type_92_machine_gun
other,Åsmund_Frægdegjevar_(album),external,15,other:Åsmund_Frægdegjevar_(album)
People's_Party_(Syria),National_Progressive_Front_(Syria),link,34,People's_Party_(Syria):National_Progressive_Front_(Syria)
other,Weekly_Torah_portion,external,153,other:Weekly_Torah_portion
other,Weekly_Torah_portion,external,58,other:Weekly_Torah_portion
other,Weekly_Torah_portion,external,2185,other:Weekly_Torah_portion
other,Weekly_Torah_portion,external,1311,other:Weekly_Torah_portion
other,Cirque_Medrano,external,11,other:Cirque_Medrano
other,Cirque_Medrano,external,85,other:Cirque_Medrano
other,Cirque_Medrano,external,315,other:Cirque_Medrano
other,Hu_Na,external,117,other:Hu_Na
other,Hu_Na,external,64,other:Hu_Na
AFL_Grand_Final,1970_VFL_Grand_Final,link,10,AFL_Grand_Final:1970_VFL_Grand_Final
Graveyard_slot,BBC_Learning_Zone,link,12,Graveyard_slot:BBC_Learning_Zone
Global_North_and_Global_South,South,link,26,Global_North_and_Global_South:South
Tomb_of_Countess_Matilda_of_Tuscany,Pasce_Oves_Meas,link,32,Tomb_of_Countess_Matilda_of_Tuscany:Pasce_Oves_Meas
Jeison_Murillo,Colombia_national_football_team,link,74,Jeison_Murillo:Colombia_national_football_team
Animal_sexual_behaviour,Tool_use_by_animals,link,91,Animal_sexual_behaviour:Tool_use_by_animals
Seversky_P-35,Fokker_D.XXI,link,43,Seversky_P-35:Fokker_D.XXI
other,Existential_instantiation,external,91,other:Existential_instantiation
other,Existential_instantiation,external,320,other:Existential_instantiation
"Thomas,_2nd_Earl_of_Lancaster",Battle_of_Boroughbridge,link,59,"Thomas,_2nd_Earl_of_Lancaster:Battle_of_Boroughbridge"
United_States_Air_Force_Academy_Cadet_Wing,Jimmy_Doolittle,link,15,United_States_Air_Force_Academy_Cadet_Wing:Jimmy_Doolittle
Islam_in_China,Weizhou_Grand_Mosque,link,50,Islam_in_China:Weizhou_Grand_Mosque
List_of_programes_broadcast_by_Cartoon_Network_(Pakistan),Nexo_Knights,link,12,List_of_programes_broadcast_by_Cartoon_Network_(Pakistan):Nexo_Knights
other,My_Affair,external,14,other:My_Affair
Louis_Marx_and_Company,Mattel,link,16,Louis_Marx_and_Company:Mattel
Transcendental_number,Natural_logarithm,link,14,Transcendental_number:Natural_logarithm
Michelle_Kwan,Josef_Korbel_School_of_International_Studies,link,16,Michelle_Kwan:Josef_Korbel_School_of_International_Studies
Tesho_Akindele,Ayo_Akinola,link,55,Tesho_Akindele:Ayo_Akinola
Billions_(TV_series),Daniel_Breaker,link,777,Billions_(TV_series):Daniel_Breaker
Cultural_depictions_of_Alfred_the_Great,Hamo_Thornycroft,link,11,Cultural_depictions_of_Alfred_the_Great:Hamo_Thornycroft
other,Striped_bark_scorpion,external,370,other:Striped_bark_scorpion
other,Striped_bark_scorpion,external,1555,other:Striped_bark_scorpion
other,Striped_bark_scorpion,external,1565,other:Striped_bark_scorpion
other,Striped_bark_scorpion,external,58,other:Striped_bark_scorpion
other,ODP,external,165,other:ODP
other,ODP,external,736,other:ODP
other,ODP,external,82,other:ODP
Steve_Chapin,John_Wallace_(musician),link,38,Steve_Chapin:John_Wallace_(musician)
List_of_snipers,Lyudmila_Pavlichenko,link,253,List_of_snipers:Lyudmila_Pavlichenko
other,Bronze_Cross_Medal,external,29,other:Bronze_Cross_Medal
other,Bronze_Cross_Medal,external,137,other:Bronze_Cross_Medal
other,Bronze_Cross_Medal,external,17,other:Bronze_Cross_Medal
other,List_of_people_of_the_Three_Kingdoms_(G),external,11,other:List_of_people_of_the_Three_Kingdoms_(G)
other,List_of_people_of_the_Three_Kingdoms_(G),external,14,other:List_of_people_of_the_Three_Kingdoms_(G)
Undisputed_championship_(professional_wrestling),TNA_World_Heavyweight_Championship_(2020–2021),link,14,Undisputed_championship_(professional_wrestling):TNA_World_Heavyweight_Championship_(2020–2021)
Grammy_Award_for_Best_Contemporary_R&B_Album,Growing_Pains_(Mary_J._Blige_album),link,15,Grammy_Award_for_Best_Contemporary_R&B_Album:Growing_Pains_(Mary_J._Blige_album)
National_Socialism_/_White_Power,Format18,link,129,National_Socialism_/_White_Power:Format18
List_of_current_NHL_general_managers,"Bill_Armstrong_(ice_hockey,_born_1970)",link,73,"List_of_current_NHL_general_managers:Bill_Armstrong_(ice_hockey,_born_1970)"
other,"Sabin,_Minnesota",external,177,"other:Sabin,_Minnesota"
other,"Sabin,_Minnesota",external,81,"other:Sabin,_Minnesota"
Zoë_Robins,Lower_Hutt,link,17,Zoë_Robins:Lower_Hutt
List_of_military_special_forces_units,NATO,link,13,List_of_military_special_forces_units:NATO
other,Shkije,external,255,other:Shkije
other,Shkije,external,16,other:Shkije
other,Shkije,external,806,other:Shkije
other,Shkije,external,48,other:Shkije
Molly_Drake,Tanworth-in-Arden,link,28,Molly_Drake:Tanworth-in-Arden
